subj,exp,tp,self,other,fair,resp,rt,given,gen
6,1,10,1,19,-18,0,0.831224009163634,-9,0
6,1,10,11,4,7,0,0.872685819014805,6,0
6,1,10,8,12,-4,0,0.904516471937313,-2,0
6,1,2,11,2,9,0,0.798873218785957,8,0
6,1,2,9,18,-9,1,1.03354245131777,8,0
6,1,10,10,19,-9,1,0.747029186713917,9,0
6,1,2,12,0,12,0,1.15164187857954,10,0
6,1,2,13,9,4,1,1.13998882016131,-1,0
6,1,10,3,19,-16,0,1.07286542955262,-9,0
6,1,10,9,19,-10,1,1.23209970217795,9,0
6,1,2,11,0,11,0,1.08918323024045,10,0
6,1,2,9,11,-2,0,1.11258941580854,-1,0
6,1,10,9,13,-4,1,1.21446671248668,3,0
6,1,10,6,18,-12,1,1.52034089347217,8,0
6,1,2,9,20,-11,1,0.822425292095431,10,0
6,1,2,9,16,-7,1,0.936320366552536,6,0
6,1,10,5,19,-14,1,1.58086524627652,9,0
6,1,2,5,12,-7,0,1.16038231385937,-2,0
6,1,2,9,20,-11,1,0.803191202749076,10,0
6,1,10,1,14,-13,0,0.885684123712053,-4,0
6,1,10,11,3,8,0,1.21999065292221,7,0
6,1,2,20,5,15,1,1.30202245131659,-5,0
6,1,10,11,1,10,0,0.724862680412116,9,0
6,1,2,18,5,13,1,1.9057572508591,-5,0
6,1,2,5,12,-7,0,0.904734936997556,-2,0
6,1,2,18,3,15,0,1.26324783505152,7,0
6,1,10,9,19,-10,1,1.08664192439755,9,0
6,1,10,19,8,11,1,0.861961603666714,-2,0
6,1,10,11,3,8,0,0.877165819014408,7,0
6,1,10,15,10,5,1,0.892649347078986,0,0
6,1,2,17,0,17,0,0.834544971363357,10,0
6,1,10,12,3,9,0,0.755742130582803,7,0
6,1,10,9,17,-8,1,0.919825887744082,7,0
6,1,10,11,2,9,0,1.00533333333442,8,0
6,1,2,10,0,10,0,1.0396499427261,10,0
6,1,2,11,4,7,0,0.624096036655828,6,0
6,1,2,3,14,-11,0,0.841477938143726,-4,0
6,1,2,12,5,7,0,0.946065154639655,5,0
6,1,10,20,9,11,1,0.85381388316091,-1,0
6,1,2,9,19,-10,1,0.878750057274374,9,0
6,1,10,7,12,-5,0,1.42925599083537,-2,0
6,1,2,9,18,-9,1,0.910352348224478,8,0
6,1,2,11,0,11,0,1.42132233677148,10,0
6,1,10,17,10,7,1,0.751076655211364,0,0
6,1,10,11,3,8,0,0.778838946162068,7,0
6,1,10,19,7,12,1,1.40635234822366,-3,0
6,1,2,5,17,-12,0,1.71278515463928,-7,0
6,1,2,1,20,-19,0,1.02272146620817,-10,0
6,1,2,7,13,-6,0,1.12809127147739,-3,0
6,1,2,9,16,-7,1,0.900487331042314,6,0
6,1,10,20,9,11,1,0.906973104238205,-1,0
6,1,10,9,18,-9,1,0.961476471935384,8,0
6,1,2,9,19,-10,1,1.26066950744644,9,0
6,1,10,6,16,-10,0,1.36433374570515,-6,0
6,1,10,10,9,1,0,0.760485681557839,1,0
6,1,2,11,3,8,0,1.13165379152451,7,0
6,1,10,12,5,7,0,0.889165269187288,5,0
6,1,2,11,2,9,0,0.727747445589557,8,0
6,1,10,7,18,-11,1,1.85349681557818,8,0
6,1,10,10,0,10,0,0.981753035508518,10,0
6,1,2,10,4,6,0,0.992292142038423,6,0
6,1,2,9,16,-7,1,0.93887413516677,6,0
6,1,2,9,20,-11,1,0.895263230240744,10,0
6,1,10,4,20,-16,0,0.957387216494681,-10,0
6,1,2,11,2,9,0,1.29021287514297,8,0
6,1,10,13,3,10,0,0.680664925543169,7,0
6,1,2,9,18,-9,1,1.2231166093934,8,0
6,1,10,11,0,11,0,0.839697227949728,10,0
6,1,10,11,1,10,0,0.591988270332877,9,0
6,1,2,11,0,11,0,1.02652591065271,10,0
6,1,10,18,10,8,1,0.603853928980243,0,0
6,1,10,15,4,11,0,0.829564261168343,6,0
6,1,2,11,3,8,0,0.742418694157095,7,0
6,1,2,10,13,-3,1,0.706359129439079,3,0
6,1,10,9,16,-7,0,0.855997434135134,-6,0
6,1,2,19,2,17,0,0.967982405498333,8,0
6,1,2,19,1,18,0,0.939601741123624,9,0
6,1,10,3,19,-16,0,0.864116197022668,-9,0
6,1,2,9,19,-10,1,1.07879074455923,9,0
6,1,2,1,17,-16,0,0.957411408935513,-7,0
6,1,2,12,0,12,0,0.929288797251502,10,0
6,1,10,8,13,-5,0,1.44581681557975,-3,0
6,1,10,19,4,15,1,1.83786813287406,-6,0
6,1,10,7,16,-9,1,2.15847880870569,6,0
6,1,2,1,14,-13,0,1.0426017869413,-4,0
6,1,2,9,18,-9,1,0.923213195876087,8,0
6,1,10,11,1,10,0,1.27231596792626,9,0
6,1,10,11,0,11,0,1.2316334478819,10,0
6,1,10,9,15,-6,1,1.09557846506323,5,0
6,1,2,0,12,-12,0,0.686112256586057,-2,0
6,1,10,18,2,16,0,1.01290336769853,8,0
6,1,2,1,16,-15,0,0.942313493700567,-6,0
6,1,10,9,20,-11,1,1.09051857960912,10,0
6,1,10,11,1,10,0,0.80917919816784,9,0
6,1,2,11,3,8,0,0.643466116838681,7,0
6,1,2,12,3,9,0,0.61191624284038,7,0
6,1,10,11,2,9,0,0.613498648339373,8,0
6,1,2,14,6,8,0,0.757848339060729,4,0
7,1,10,0,14,-14,0,4.81429129117532,-4,0
7,1,2,5,11,-6,0,0.375458699203591,-1,0
7,1,10,10,20,-10,0,0.779845276651031,-10,0
7,1,10,1,17,-16,0,7.0468905958187,-7,0
7,1,2,10,20,-10,0,0.520061434810486,-10,0
7,1,10,20,0,20,1,4.3421292147068,-10,0
7,1,2,11,0,11,0,0.80360507973819,10,0
7,1,2,16,9,7,0,0.430161706244689,1,0
7,1,2,20,8,12,0,0.280414721630223,2,0
7,1,10,17,3,14,0,3.49587202791736,7,0
7,1,10,11,8,3,0,0.926443543939968,2,0
7,1,2,6,17,-11,0,0.261378361090465,-7,0
7,1,2,1,20,-19,0,0.270100564677705,-10,0
7,1,10,11,5,6,0,0.638210179633461,5,0
7,1,10,6,20,-14,0,2.50333804358161,-10,0
7,1,2,10,9,1,0,0.262130534312746,1,0
7,1,10,20,3,17,1,2.08620191012596,-7,0
7,1,2,10,12,-2,0,0.261663175220747,-2,0
7,1,10,15,0,15,0,0.40572267461539,10,0
7,1,2,10,16,-6,0,0.273474714038457,-6,0
7,1,10,9,16,-7,0,0.254803809984878,-6,0
7,1,10,11,3,8,0,0.279467173979356,7,0
7,1,2,9,19,-10,0,0.278608332919248,-9,0
7,1,2,1,12,-11,0,0.254967294029484,-2,0
7,1,2,18,3,15,0,0.239446573526948,7,0
7,1,2,7,12,-5,0,0.216815396823222,-2,0
7,1,10,17,3,14,0,0.234831631598354,7,0
7,1,2,11,0,11,0,0.25258357938219,10,0
7,1,10,7,11,-4,0,0.229379841977789,-1,0
7,1,10,2,10,-8,0,0.294423031456972,0,0
7,1,10,16,5,11,0,0.285827656294714,5,0
7,1,2,17,9,8,0,0.229492374717665,1,0
7,1,10,9,19,-10,0,0.270641601557145,-9,0
7,1,2,18,10,8,0,0.279030972160399,0,0
7,1,2,9,16,-7,0,0.230134214532882,-6,0
7,1,10,19,5,14,0,0.287745111516415,5,0
7,1,10,11,3,8,0,0.231241214107285,7,0
7,1,2,11,1,10,0,0.240596460167581,9,0
7,1,2,17,3,14,0,0.265715086901764,7,0
7,1,10,7,10,-3,0,2.12976270987565,0,0
7,1,2,2,18,-16,0,0.423094137117005,-8,0
7,1,10,11,5,6,0,2.76099256074303,5,0
7,1,2,9,16,-7,0,0.869581154616753,-6,0
7,1,10,11,3,8,0,1.30199058317157,7,0
7,1,10,10,2,8,0,0.596467498380662,8,0
7,1,2,9,17,-8,0,0.199243428105547,-7,0
7,1,10,10,5,5,0,0.289916223591717,5,0
7,1,10,11,10,1,0,0.321275835336564,0,0
7,1,2,11,2,9,0,0.239398921225074,8,0
7,1,2,0,16,-16,0,0.257006812447798,-6,0
7,1,2,9,17,-8,0,0.297628931541112,-7,0
7,1,10,15,9,6,0,0.263696565078135,1,0
7,1,10,3,10,-7,0,0.312338096729945,0,0
7,1,2,1,11,-10,0,0.214429482843116,-1,0
7,1,2,9,18,-9,0,0.224814385128411,-8,0
7,1,10,4,16,-12,0,0.234472773125162,-6,0
7,1,10,11,3,8,0,0.259962721236661,7,0
7,1,2,10,11,-1,0,0.245541669188242,-1,0
7,1,10,9,16,-7,0,0.238408853063447,-6,0
7,1,2,20,1,19,0,0.231676682811667,9,0
7,1,2,4,19,-15,0,0.344156636776461,-9,0
7,1,2,0,17,-17,0,0.261591330214287,-7,0
7,1,2,9,18,-9,0,0.238325644815632,-8,0
7,1,10,4,16,-12,0,0.263784802213195,-6,0
7,1,10,9,19,-10,0,0.287851046243304,-9,0
7,1,10,12,0,12,0,0.271405138017144,10,0
7,1,10,11,2,9,0,0.311539004324004,8,0
7,1,2,20,7,13,0,0.213307454469032,3,0
7,1,10,3,15,-12,0,0.431628663955053,-5,0
7,1,2,11,1,10,0,0.35283265428734,9,0
7,1,2,6,18,-12,0,0.213731926491164,-8,0
7,1,2,14,6,8,0,0.215926864719222,4,0
7,1,10,11,4,7,0,0.497978992665594,6,0
7,1,2,9,16,-7,0,0.56871150014922,-6,0
7,1,2,15,8,7,0,0.388726565608522,2,0
7,1,10,11,1,10,0,0.335902158833051,9,0
7,1,10,9,20,-11,0,0.397308011633868,-10,0
7,1,10,1,10,-9,0,2.72830308328776,0,0
7,1,2,6,14,-8,0,0.269788991954556,-4,0
7,1,10,10,13,-3,0,0.237613059660362,-3,0
7,1,10,20,6,14,0,1.3354058418081,4,0
7,1,10,1,19,-18,0,0.364851297330461,-9,0
7,1,2,11,2,9,0,0.193048262615775,8,0
7,1,10,5,20,-15,0,0.748484198680671,-10,0
7,1,2,5,10,-5,0,0.249368881948612,0,0
7,1,2,11,0,11,0,0.218102008911956,10,0
7,1,2,18,3,15,0,0.227754165451188,7,0
7,1,2,2,13,-11,0,0.534151853218646,-3,0
7,1,10,11,4,7,0,0.93945152203014,6,0
7,1,10,9,18,-9,0,0.336775295581901,-8,0
7,1,2,11,4,7,0,0.285048724475928,6,0
7,1,10,9,15,-6,0,0.348186555085704,-5,0
7,1,2,6,13,-7,0,0.281183389874059,-3,0
7,1,2,3,20,-17,0,0.288335266915965,-10,0
7,1,2,10,15,-5,0,0.199766503734281,-5,0
7,1,10,11,2,9,0,0.226717544661369,8,0
7,1,10,6,16,-10,0,0.227806216425961,-6,0
7,1,10,9,16,-7,0,0.26129881840825,-6,0
7,1,10,19,4,15,0,0.245329799730825,6,0
7,1,2,9,17,-8,0,0.237386161406903,-7,0
7,1,2,9,16,-7,0,0.222485653910553,-6,0
7,1,10,0,19,-19,0,0.343468244322139,-9,0
7,1,10,9,18,-9,0,0.268487717617973,-8,0
7,1,10,10,13,-3,0,0.268312137224711,-3,0
7,1,2,18,0,18,0,0.276021546171251,10,0
7,1,2,9,19,-10,0,0.227374779835372,-9,0
7,1,2,10,8,2,0,0.220490855343087,2,0
7,1,10,11,2,9,0,0.245935717048269,8,0
7,1,10,3,18,-15,0,0.246040918660583,-8,0
