subj,exp,tp,self,other,fair,resp,rt,given,gen
1,1,10,75,0,75,0,4.18476702607495,50,0
1,1,1.5,93,23,70,1,0.506735285978721,-27,0
1,1,1.5,56,10,46,1,0.418719289467845,-40,0
1,1,1.5,44,59,-15,1,0.74935770198681,9,0
1,1,1.5,80,45,35,1,0.746725828828858,-5,0
1,1,1.5,54,12,42,1,0.673391872350294,-38,0
1,1,1.5,85,15,70,1,0.697992921800505,-35,0
1,1,1.5,28,97,-69,0,0.945930401983787,-47,0
1,1,1.5,1,99,-98,0,0.679925369167904,-49,0
1,1,1.5,48,80,-32,1,0.777186644892936,30,0
1,1,1.5,74,13,61,0,0.333895997023319,37,0
1,1,1.5,15,83,-68,1,0.563247614178181,33,0
1,1,1.5,3,85,-82,1,0.584572751316045,35,0
1,1,1.5,53,0,53,0,0.796497189430738,50,0
1,1,1.5,99,50,49,1,0.808488340765507,0,0
1,1,1.5,74,13,61,1,1.05973545642701,-37,0
1,1,1.5,89,31,58,1,0.733088107269396,-19,0
1,1,1.5,89,28,61,1,0.667097003587514,-22,0
1,1,1.5,27,77,-50,1,0.611690575292414,27,0
1,1,1.5,63,35,28,1,0.87102831829543,-15,0
1,1,1.5,80,21,59,1,0.511676096323754,-29,0
1,1,10,48,100,-52,1,4.88351138798316,50,0
1,1,10,11,59,-48,0,2.78735161348868,-9,0
1,1,10,38,57,-19,1,2.23140066603264,7,0
1,1,10,16,68,-52,0,3.41806681952039,-18,0
1,1,10,29,62,-33,1,2.66871388276468,12,0
1,1,10,10,54,-44,0,2.94929282154771,-4,0
1,1,10,55,8,47,1,3.05859913236236,-42,0
1,1,10,50,100,-50,1,2.25992899807352,50,0
1,1,10,26,86,-60,1,2.16522408493984,36,0
1,1,10,51,49,2,1,2.72249646731507,-1,0
1,1,10,87,2,85,1,2.28849948407333,-48,0
1,1,10,49,66,-17,1,2.20837837391991,16,0
1,1,10,97,30,67,1,3.32375595424674,-20,0
1,1,10,47,83,-36,1,3.56233122380399,33,0
1,1,10,70,17,53,0,3.56759863567822,33,0
1,1,10,48,100,-52,1,3.81228916148575,50,0
1,1,10,84,23,61,1,4.63945720365336,-27,0
1,1,10,26,86,-60,1,3.99351855415625,36,0
1,1,10,53,48,5,1,4.02942016315501,-2,0
1,1,10,20,92,-72,0,3.76805683086423,-42,0
1,1,1.5,93,29,64,1,0.52276918509051,-21,0
1,1,1.5,7,74,-67,1,0.473292169077467,24,0
1,1,1.5,0,68,-68,0,0.521979623143125,-18,0
1,1,1.5,5,61,-56,1,0.544615931630688,11,0
1,1,1.5,93,9,84,1,0.614620092042969,-41,0
1,1,1.5,65,28,37,1,0.585855697840088,-22,0
1,1,1.5,15,83,-68,0,0.781788390799193,-33,0
1,1,1.5,56,49,7,1,0.473870228126543,-1,0
1,1,1.5,89,14,75,1,0.498522961992421,-36,0
1,1,1.5,2,62,-60,0,0.962492508508149,-12,0
1,1,1.5,72,10,62,0,1.03117376777664,40,0
1,1,1.5,85,15,70,1,0.625771096682001,-35,0
1,1,1.5,60,49,11,1,0.892400374621502,-1,0
1,1,1.5,8,76,-68,NaN,NaN,0,0
1,1,1.5,16,98,-82,1,0.699725999276779,48,0
1,1,1.5,80,19,61,1,0.459004543463379,-31,0
1,1,1.5,48,60,-12,1,0.348330245096804,10,0
1,1,1.5,50,32,18,1,0.706299084158672,-18,0
1,1,1.5,59,36,23,1,0.305623887732509,-14,0
1,1,1.5,44,59,-15,1,0.360907886271889,9,0
1,1,10,12,92,-80,0,1.22822812255436,-42,0
1,1,10,40,71,-31,0,1.42937800919572,-21,0
1,1,10,73,36,37,1,2.74265302344793,-14,0
1,1,10,7,75,-68,0,4.18059268463912,-25,0
1,1,10,53,38,15,1,3.97716465152371,-12,0
1,1,10,28,57,-29,1,3.79775154457639,7,0
1,1,10,90,28,62,1,4.31373247632473,-22,0
1,1,10,80,47,33,1,3.6570779243375,-3,0
1,1,10,74,13,61,1,4.85031239747877,-37,0
1,1,10,75,36,39,1,3.80361387708399,-14,0
1,1,10,64,48,16,1,4.12626246520085,-2,0
1,1,10,90,22,68,1,5.1727667108371,-28,0
1,1,10,83,48,35,1,4.39338366149423,-2,0
1,1,10,48,60,-12,1,4.75738014988565,10,0
1,1,10,47,83,-36,1,4.61064479059678,33,0
1,1,10,87,42,45,1,5.38996479228081,-8,0
1,1,10,33,63,-30,1,5.02584257513081,13,0
1,1,10,68,37,31,1,4.71649117790912,-13,0
1,1,10,88,4,84,1,4.65108326506197,-46,0
1,1,10,81,15,66,1,5.36429743099143,-35,0
1,1,1.5,33,58,-25,1,0.343474475777839,8,0
1,1,1.5,62,50,12,0,0.381671825944068,0,0
1,1,1.5,84,45,39,1,0.426353554403249,-5,0
1,1,1.5,73,50,23,1,0.316965135012651,0,0
1,1,1.5,100,15,85,1,0.307631149209556,-35,0
1,1,1.5,38,57,-19,1,0.386976626547039,7,0
1,1,1.5,22,53,-31,1,0.678859790439674,3,0
1,1,1.5,75,17,58,0,0.471566789279677,33,0
1,1,1.5,46,96,-50,1,0.360229390838867,46,0
1,1,1.5,29,62,-33,1,0.429522432319573,12,0
1,1,1.5,83,13,70,1,0.51879828231904,-37,0
1,1,1.5,37,88,-51,1,0.397458666211605,38,0
1,1,1.5,85,15,70,1,0.280795206910625,-35,0
1,1,1.5,87,47,40,1,0.329389555716261,-3,0
1,1,1.5,100,15,85,1,0.431385270674582,-35,0
1,1,1.5,50,2,48,1,0.346064561535968,-48,0
1,1,1.5,71,19,52,1,0.359375681566235,-31,0
1,1,1.5,22,53,-31,1,0.356711551467015,3,0
1,1,1.5,69,47,22,1,0.329983010122305,-3,0
1,1,1.5,75,2,73,1,0.296664522313222,-48,0
