,accept,yesrt,nort,avert,r.accept,r.rt,time,self,other,genoffer,gen,r.gen,comp.rt,subjval,subj
37,0.6209,0.9830296344016749,1.1779206014244261,1.0569127999999999,0.0,1.288,1.5,30,100,1,0.6209,0.0,1.1779206014244261,0.24368199529916124,57
38,0.4124,0.6962080504364695,1.1575439074200136,0.9672890000000001,0.0,1.221,1.5,53,0,-1,0.5876,1.0,1.1575439074200136,-0.3646408016894075,57
39,0.301,0.6965591362126246,1.1031304721030042,0.9807524999999999,0.0,1.028,1.5,100,15,-1,0.6990000000000001,1.0,1.1031304721030042,-0.5045201395118546,57
40,0.53,2.068348679245283,3.311885106382979,2.6528108,0.0,1.509,10.0,92,22,-1,0.47,1.0,3.311885106382979,-0.09197663157281302,57
41,0.437,3.265844393592677,2.35704973357016,2.754193,0.0,4.124,10.0,45,81,1,0.437,0.0,2.35704973357016,0.04333453164306539,57
42,0.4795,3.198309906152242,2.331119692603266,2.7469374,0.0,0.965,10.0,11,80,1,0.4795,0.0,2.331119692603266,0.07317004856790306,57
43,0.4978,2.0937659702691844,3.246468936678614,2.6726533999999997,0.0,1.555,10.0,93,13,-1,0.5022,1.0,3.246468936678614,-0.10671171433395554,57
44,0.4838,2.0772715998346425,3.244614103060829,2.6798538,0.0,2.9,10.0,96,7,-1,0.5162,1.0,3.244614103060829,-0.11969735010973807,57
45,0.5704,2.1592796283309954,3.2826955307262566,2.6418991,0.0,2.495,10.0,76,27,-1,0.4296,1.0,3.2826955307262566,-0.0628594092308498,57
46,0.4025,3.3358004968944104,2.313225941422594,2.7248122,1.0,1.395,10.0,35,53,1,0.4025,1.0,3.3358004968944104,0.02330975813847161,57
47,0.6649,2.1242180779064523,3.421523724261415,2.5589452,0.0,3.263,10.0,51,43,-1,0.33509999999999995,1.0,3.421523724261415,-0.005191817064087334,57
48,0.4578,2.0282134119702926,3.1973779048321656,2.6621344000000002,0.0,1.019,10.0,98,5,-1,0.5422,1.0,3.1973779048321656,-0.12538114419762691,57
49,0.5789,2.141714285714286,3.33997767751128,2.6463030000000005,0.0,1.982,10.0,94,43,-1,0.42110000000000003,1.0,3.33997767751128,-0.06346751672375729,57
50,0.4068,3.2701214355948873,2.3476957181389078,2.7229385,1.0,1.756,10.0,46,69,1,0.4068,1.0,3.2701214355948873,0.029952590169334145,57
51,0.5889,2.1244078790966205,3.330924349306738,2.6204068,1.0,1.497,10.0,68,32,-1,0.4111,0.0,2.1244078790966205,-0.044584177523243784,57
52,0.4998,2.10046918767507,3.2671515393842467,2.6840437,0.0,1.301,10.0,97,19,-1,0.5002,1.0,3.2671515393842467,-0.10321282036323556,57
53,0.5241,2.110170578133944,3.2522321916368986,2.6536777000000003,0.0,1.308,10.0,65,0,-1,0.4759,1.0,3.2522321916368986,-0.08809117390415226,57
54,0.6146,2.1235489749430525,3.3386805915931506,2.5918607000000002,1.0,0.751,10.0,53,23,-1,0.38539999999999996,0.0,2.1235489749430525,-0.0376352790156719,57
55,0.6645,2.11223927765237,3.3572211624441133,2.5299307000000004,1.0,1.941,10.0,53,49,-1,0.3355,0.0,2.11223927765237,0.001017574565221946,57
