,accept,yesrt,nort,avert,r.accept,r.rt,time,self,other,genoffer,gen,r.gen,comp.rt,subjval,subj
55,0.5037,3.187135596585269,4.059355631674391,3.6200184,0.0,2.707,10.0,36,56,1,0.5037,0.0,4.059355631674391,-0.3958309633512277,14
56,0.9423,2.5571526053273907,4.23630849220104,2.6540399,1.0,2.565,10.0,51,1,-1,0.057699999999999974,0.0,2.5571526053273907,0.17413655787265855,14
57,0.957,2.4945382445141067,4.347418604651162,2.5742121,1.0,3.588,10.0,51,4,-1,0.04300000000000004,0.0,2.4945382445141067,0.15007931919645734,14
58,0.0406,2.8241231527093595,3.104068480300188,3.0927027000000002,0.0,3.443,10.0,19,96,1,0.0406,0.0,3.104068480300188,-0.992040121850113,14
59,0.0211,2.3744644549763034,2.750117989580141,2.7421917,0.0,3.607,10.0,4,95,1,0.0211,0.0,2.750117989580141,-1.0903363003807973,14
60,0.7586694975230007,0.896747867803838,1.107718056137411,0.9476614093620463,1.0,0.749,1.5,51,4,-1,0.24133050247699928,0.0,0.896747867803838,0.868485545454718,14
61,0.9883976795359072,0.7755282331511839,1.0035689655172413,0.7781740348069613,1.0,1.014,1.5,52,14,-1,0.011602320464092819,0.0,0.7755282331511839,0.521672517586349,14
62,0.9945,0.7312627450980391,0.8062181818181821,0.7316749999999999,1.0,0.708,1.5,51,3,-1,0.005499999999999949,0.0,0.7312627450980391,0.9051573833336539,14
63,0.02564102564102564,1.0772499999999998,0.7775246710526316,0.7852099358974358,,,1.5,49,99,1,0.02564102564102564,,,-1.87509476780638,14
64,0.10104459622338288,1.0788807157057654,0.8278329608938548,0.8531999799116112,0.0,0.914,1.5,43,75,1,0.10104459622338288,0.0,0.8278329608938548,-1.3952225595865795,14
65,0.981998199819982,0.744349831958448,0.7051166666666666,0.7436435643564356,1.0,0.668,1.5,51,1,-1,0.018001800180017957,0.0,0.744349831958448,0.9785010590915256,14
66,0.24942030446617602,1.0215828617623282,0.8161830758898589,0.8674139530194576,0.0,0.679,1.5,33,52,1,0.24942030446617602,0.0,0.8161830758898589,-0.9536380942216937,14
67,0.9854883907125701,0.6895863714837006,0.9327517241379308,0.6931150920736588,1.0,0.506,1.5,92,41,-1,0.014511609287429894,0.0,0.6895863714837006,0.3277469316946592,14
68,0.9973,0.6472561917176376,0.6255185185185185,0.6471975,1.0,0.564,1.5,77,3,-1,0.0027000000000000357,0.0,0.6472561917176376,1.4226965072793794,14
69,0.24476228847703466,1.0120403292181068,0.8348527607361964,0.8782215954875101,0.0,0.628,1.5,46,57,1,0.24476228847703466,0.0,0.8348527607361964,-1.0030365195762756,14
70,0.11291942937512557,1.0403024911032028,0.7583941109852774,0.7902270444042596,0.0,0.648,1.5,12,63,1,0.11291942937512557,0.0,0.7583941109852774,-1.2758054884997034,14
71,0.9418488068979346,0.7694008941877795,0.9870258620689656,0.782056045718869,1.0,0.661,1.5,58,34,-1,0.0581511931020654,0.0,0.7694008941877795,-0.09233213446643107,14
72,0.04380074170592362,0.9402791762013729,0.8127105870020964,0.818298185827403,0.0,0.553,1.5,49,98,1,0.04380074170592362,0.0,0.8127105870020964,-1.8540240296690398,14
73,0.17360273421793326,1.0172414591777648,0.8003384016543,0.8379933655006032,0.0,0.658,1.5,33,61,1,0.17360273421793326,0.0,0.8003384016543,-1.1432747374577548,14
74,0.06953907815631262,0.9632737752161384,0.8392749300021537,0.8478976953907815,0.0,0.726,1.5,40,90,1,0.06953907815631262,0.0,0.8392749300021537,-1.7241963851848623,14
75,0.03184458241538153,0.9529591194968553,0.7873134050475796,0.7925883236531143,0.0,0.695,1.5,49,99,1,0.03184458241538153,0.0,0.7873134050475796,-1.87509476780638,14
76,0.2889315289840436,1.0573379937084937,0.879192870330919,0.9306646132094527,0.0,0.675,1.5,49,100,1,0.2889315289840436,0.0,0.879192870330919,-1.8961655059437201,14
77,0.9926978093428028,0.7141485288190247,0.8678082191780823,0.7152705811743525,1.0,0.534,1.5,85,26,-1,0.007302190657197172,0.0,0.7141485288190247,0.7384870434317705,14
78,0.9915,0.7169977811396873,0.893670588235294,0.7184994999999998,1.0,0.704,1.5,78,26,-1,0.008499999999999952,0.0,0.7169977811396873,0.5991495869848444,14
79,0.044339905915323795,0.9210338600451468,0.7806293464599917,0.7868548693824442,0.0,0.674,1.5,49,97,1,0.044339905915323795,0.0,0.7806293464599917,-1.8329532915316997,14
80,0.9246,2.8974977287475667,4.506558355437666,3.0188209,1.0,2.158,10.0,51,8,-1,0.07540000000000002,0.0,2.8974977287475667,0.1180030009615224,14
81,0.9398,2.611979782932539,4.196739202657808,2.7073823000000004,1.0,2.149,10.0,51,4,-1,0.06020000000000003,0.0,2.611979782932539,0.15007931919645734,14
82,0.1253,3.179753391859537,3.408135475020007,3.3795192000000003,0.0,2.992,10.0,49,96,1,0.1253,0.0,3.408135475020007,-0.7718753098699064,14
83,0.1116,2.5937553763440864,3.352915691130122,3.2681934,0.0,3.734,10.0,37,92,1,0.1116,0.0,3.352915691130122,-0.8127963248243122,14
84,0.2614,3.0165497322111707,3.712960330354725,3.5309185999999997,0.0,2.565,10.0,32,70,1,0.2614,0.0,3.712960330354725,-0.5901934560471241,14
85,0.9441,2.573805634996293,4.27583899821109,2.6689493,1.0,3.428,10.0,51,0,-1,0.05589999999999995,0.0,2.573805634996293,0.1821556374313923,14
86,0.0916,3.1834650655021837,3.1929521136063412,3.1920831,0.0,3.936,10.0,49,98,1,0.0916,0.0,3.1929521136063412,-0.7954477647887449,14
87,0.9438,2.6491173977537614,4.266619217081851,2.740021,1.0,4.079,10.0,98,33,-1,0.05620000000000003,0.0,2.6491173977537614,0.08539493276328551,14
88,0.8466,2.8387747460429953,4.22403780964798,3.0512740999999997,1.0,5.008,10.0,74,45,-1,0.15339999999999998,0.0,2.8387747460429953,-0.09655432190923337,14
89,0.4923,3.1359274832419257,3.984845775064014,3.5669233,0.0,3.724,10.0,34,55,1,0.4923,0.0,3.984845775064014,-0.39872239002382226,14
90,0.1237,2.8731147938561037,3.348997147095744,3.2901305,0.0,3.642,10.0,49,99,1,0.1237,0.0,3.348997147095744,-0.8072339922481641,14
91,0.8535,2.823607967193907,4.2498361774744025,3.0325504,1.0,3.821,10.0,65,37,-1,0.14649999999999996,0.0,2.823607967193907,-0.0645467979272562,14
